City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
361,Bonthe,SL,80.24,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
363,Honiara,SB,78.96,broken clouds,-9.4333,159.95,Heritage Park Hotel
367,Bandarbeyla,SO,75.36,overcast clouds,9.4942,50.8122,JABIR HOTEL
375,La Macarena,CO,86.83,overcast clouds,2.1837,-73.7849,Hotel Punto Verde
376,Sal Rei,CV,73.6,few clouds,16.1833,-22.9167,Marine Club Beach Resort
378,Ancud,CL,74.23,few clouds,-41.8697,-73.8203,Hotel Arena Gruesa
379,Sao Miguel Do Araguaia,BR,87.24,moderate rain,-13.275,-50.1628,Hotel Executivo Palace
384,Teshie,GH,84.76,scattered clouds,5.5836,-0.1072,Adinkra Lodge
389,Saint-Pierre,RE,82.08,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
391,Kerema,PG,77.04,light rain,-7.9631,145.7785,Frena Lodge
394,Merauke,ID,80.29,overcast clouds,-8.4667,140.3333,
398,Dedougou,BF,80.92,clear sky,12.4667,-3.4667,Hôtel Bon Séjour
399,Gamba,GA,77.09,clear sky,-2.65,10.0,
400,Gorontalo,ID,73.56,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
404,Waspan,NI,85.68,few clouds,14.7419,-83.9717,Hostal casa de la rose
408,Vila Velha,BR,82.35,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
409,Marsh Harbour,BS,73.96,clear sky,26.5412,-77.0636,Abaco Beach Resort
413,Palauig,PH,76.87,broken clouds,15.435,119.9045,Alperi Botique Resort
418,Jizan,SA,77.94,clear sky,17.3333,42.6667,شهدان. ابوالحجر
419,Belle Glade,US,82.98,overcast clouds,26.6845,-80.6676,Mid-City Trailer Park
422,Pambujan,PH,77.22,overcast clouds,12.5642,124.9276,Fred and Flor Pension House
423,Hambantota,LK,74.71,few clouds,6.1241,81.1185,Bungalow 63
428,Faanui,PF,81.09,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
429,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
430,Basco,PH,71.65,broken clouds,20.4487,121.9702,Nathaniel's Lodge
431,Booue,GA,78.93,clear sky,-0.0921,11.9385,Splendeur de l'équateur
436,Kattivakkam,IN,81.07,overcast clouds,13.2167,80.3167,Euronova Freezer
441,Clarence Town,AU,70.86,overcast clouds,-32.5833,151.7833,River Downs Cottage
442,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
455,Kourou,GF,84.25,scattered clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
457,San Vicente,AR,72.3,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
458,Dicabisagan,PH,72.95,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
459,Ariquemes,BR,82.87,overcast clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
461,Pergamino,AR,73.26,scattered clouds,-33.89,-60.5736,Hotel Fachinat
462,Magelang,ID,77.74,overcast clouds,-7.4706,110.2178,Puri Asri Magelang Hotel & Resort
463,Kirakira,SB,81.1,overcast clouds,-10.4544,161.9205,SanBiz Lodge
465,Dana Point,US,73.53,clear sky,33.467,-117.6981,Laguna Cliffs Marriott Resort & Spa
467,Cairns,AU,75.15,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
468,Caravelas,BR,78.13,light rain,-17.7125,-39.2481,Pousada dos Navegantes
471,Mabaruma,GY,81.75,broken clouds,8.2,-59.7833,Monty Brooms Guest House
473,San-Pedro,CI,80.76,few clouds,4.7485,-6.6363,Hotel Maria
474,Buta,CD,77.72,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
476,Lompoc,US,71.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
