City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
344,Bombay,26,IN,2022-02-05 17:17:37,60,19.0144,72.8479,73.38,5.75
345,Soto La Marina,26,MX,2022-02-05 17:18:57,28,23.7667,-98.2167,49.77,8.08
346,Pevek,20,RU,2022-02-05 17:18:37,99,69.7008,170.3133,-28.16,3.09
347,Santa Rita,75,BR,2022-02-05 17:18:58,62,-7.1139,-34.9781,86.67,11.5
348,Cuamba,67,MZ,2022-02-05 17:18:58,95,-14.8031,36.5372,69.89,3.62
349,Igaci,82,BR,2022-02-05 17:18:59,26,-9.5369,-36.6336,95.63,12.68
350,Kulevcha,92,UA,2022-02-05 17:18:59,62,46.0303,29.9361,36.68,6.8
351,Sawakin,22,SD,2022-02-05 17:19:00,56,19.1059,37.3321,69.87,13.76
352,Palauig,58,PH,2022-02-05 17:19:00,73,15.435,119.9045,77.13,4.83
353,Roma,0,US,2022-02-05 17:15:11,71,43.2128,-75.4557,19.13,14.97
354,Lovington,0,US,2022-02-05 17:19:01,25,32.944,-103.3485,40.32,7.0
355,Mineros,100,BO,2022-02-05 17:19:02,86,-17.1167,-63.2333,83.79,7.18
356,Anaconda,38,US,2022-02-05 17:19:02,66,46.1285,-112.9423,36.59,11.36
